par_nr	head	sentence
1	 Indriksoni õhulend 	 Indriksoni õhulend 
2	NA	 Teet Kallas 
3	NA	" Sõna "" Lufthansa "" ei kõlanud Indriksoni kodus ammu erakordselt . "
4	NA	" Esiteks poleks "" Lufthansata "" Saksamaale lennata saanudki , teiseks kohustas firma tase . "
4	NA	 Ärimaailm oli kohati ju tõesti upsakas ja kõle , aga Indrikson oli õigel ajal alustanud mees . 
4	NA	 Tema oli sisse elanud ja teadis juba hästi , millise lennukiga lennata ning millist lipsu kanda . 
5	NA	 Praegu oli naljakas meenutadagi , et pärast keskkooli oli ta tahtnud väga draamanäitlejaks saada . 
6	NA	 Millest nad ära elavad , mõtles ta mõnikord . 
6	NA	 Millest nad üüri maksavad ja millest lapsi koolitavad ? 
6	NA	 Imede ime ! 
7	NA	 Indrikson teadis ju , millist palka näitlejad saavad . 
7	NA	 Alles hiljuti oli ta hiina restoranis kostitanud ühe tähtsa teatri esinäitlejat . 
7	NA	 Timmani-poiss maitses sääraseid roogi esimest korda elus . 
7	NA	 Eks need imelikud suutäied olid ja ega eesti mees neist söönuks saanud . 
8	NA	 Timman oli hea artist ja käitus uues miljöös väärika rahuga nagu diplomaat . 
8	NA	" Aga seljas oli tal "" Baltika "" poeülikond , seegi umbes viis aastat vana . "
9	NA	 Mis parata . 
9	NA	 Igale oma . 
9	NA	 See aeg oli tulnud . 
10	NA	 Nojah , Timman oli ju noorpõlvesemu . 
10	NA	 Kurat neid teab , kurat neid teab ... aga näe , elavad ja mängivad . 
10	NA	 Imelikud inimesed . 
10	NA	 Näitlejatele mõtles Indrikson esikus , kui ta kohvri järele haaras ja teise käe naise õlale tõstis . 
11	NA	 Napp põsemusi , hajev reisipilk , paar argist sõna . 
11	NA	 Harilik asi . 
12	NA	 Indriksoni ärilennud Frankfurti või Helsingisse olid saanud osaks nende töisest elust.Vanasti sõideti niisama argiselt Tartu komandeeringusse . 
12	NA	 Võileib portfellis . 
12	NA	" "" Ikaruse "" bussi või diiselrongiga . "
13	NA	" Mida teati tol ajal "" Lufhansast "" kes julges siinmail nii võimsaid muutusi uskuda ? "
13	NA	 Indrikson küll mitte.Tema oli siis noor tohman , kes kahetses veel kaua , et polnud lavakasse sisse saanud . 
13	NA	 Ja õppis siis igaks juhuks kaubatundjaks.Pime juhus , kui nii võtta . 
14	NA	 Ta pilk langes mobiiltelefonile esikukapil . 
14	NA	 Korraks tekkis kihk see taskusse torgata , aga naise silma all ei sobinud seda teha . 
14	NA	 Tal polnud Saksamaal oma mobiili lihtsalt vaja . 
15	NA	 Lifti oodates seiras Indrikson kaht lähimat korteriust . 
15	NA	 Tema oma oli 69 , otse selle kõrval 70. 
15	NA	 Oma korteri olid Indriksonid mõne aasta eest oksjonilt ostnud . 
15	NA	 Nüüd hakkas see etapp lõppema : mereäärne villa saab augustis valmis . 
15	NA	 Siis võib keskiga ka lõpuks tulla . 
16	NA	 Paul Indrikson oli juba kolmekümne kahe aastane . 
16	NA	 Mõnikord tundus talle , et kõik oluline on ammu juhtunud . 
16	NA	 Ta oli juba aastaid kuidagi liiga külmavereline . 
16	NA	 Või koguni tuim ? 
16	NA	 Kurat seda teab , kurat seda teab , mõtles ta . 
17	NA	 Lennuk kihutas järve kohale ja sööstis järsu nurga all üles . 
18	NA	 Suunaga läände . 
18	NA	" Head reisi , "" Lufthansa ! "" "
19	NA	 Indrikson neelas muige alla , astus kõrvalisest nurgast välja ja kõndis , kohver näpus , läbi tühja saali tagasi . 
19	NA	 Klaasuksed avanesid ta ees hääletult . 
19	NA	 Üks pooltuttav hõreda soenguga mees viipas vastu tulles . 
19	NA	 Indriksoni teada pendeldas too isand Skandinaavia vahet . 
20	NA	 Mis ta nimi peaks olema ? 
20	NA	 Polnud aimugi . 
21	NA	 Väljas lõi pintsakuhõlmadesse jahe tuul . 
21	NA	 Järv kilgendas rahutult . 
21	NA	 See suvi paistis vilets tulevat . 
22	NA	 Ja alles nüüd tundis Indrikson , kuidas rinda kerkis sume ja paheline ärevus . 
22	NA	 Kurat , mis ma teen , mõtles ta jahmunult . 
22	NA	 Kõik on õige , poiss , korrigeeris ta samas ja astus taksopeatusse . 
23	NA	 Õhtul vedeles ta täiesti paljana diivanil . 
23	NA	 Käeulatuses olid veinipudel ja tuhatoos . 
23	NA	 Ta oli nii mõnusas audis nagu kunagi tudengipõlves , neil ajaloolistel labrakatel Mustamäe ühikas . 
24	NA	" "" Tead sa , viimati puristasin ma niimoodi vist Andropovi ajal ! "" "
25	NA	" "" Kes on Andropov ? "" küsis Aune laisalt . "
25	NA	 Temagi oli alasti . 
