par_nr	head	sentence
1	 Hüvitis 	 Hüvitis 
2	NA	 Selles mängus ei hüpata 
3	NA	 Kogu selle jama sisse sattusin ma juhuslikult . 
3	NA	 Ja iseäranis juhuslikult komistasin ma üldse arvutite otsa . 
4	NA	 Tulikiri tekkis seinale - üks neist paljudest , mida ma ei märganud - eelmisel sügisel . 
4	NA	 Igasugused Puškinid võivad ju sügisest rõõmu tunda , et lehed lähevad kollaseks ja punaseks ja muud värvi ning et õhk läheb kargeks - nagu nad seda nimetavad . 
4	NA	 Aga kui sa pead mööda ehitusplatsi kolistama , seejuures midagi seljas kandes , ja iga päevaga läheb õhk külmemaks , vihm vastikumaks , tuul vingemaks , hommikune härmatis lompidel paksemaks - siis tekib vägisi tunne , et kogu universum roomab vääramatult lõpule vastu . 
4	NA	 Ja mitte midagi pole mõtet teha . 
4	NA	 Mitte midagi ei tahagi teha . 
4	NA	 Tegelikult ma tõmbasingi korra selja ära . 
4	NA	 Peale paari vaba päeva oli eriti vastik ehitusplatsile mõelda ja ma hakkasin radikuliiti simuleerima . 
4	NA	 Ma tean küll , kuidas see käib . 
4	NA	 Samal ajal mõeldud mõtted oma elukorraldusest jooksid aga ummikusse . 
4	NA	 Ehituselt oli mul ühikatuba ja sellest ei tahtnud ilma jääda , vastu talve eriti . 
4	NA	 Ja platsile minna ka ei tahtnud . 
4	NA	 Kahe nädala pärast muutus rajooniarst rahutuks ja teatas , et ta võib mu hullukasse uurimisele saata , aga haiguslehte enam ei anna . 
4	NA	 Siis mul tuli idee , et ehk saaks 
5	NA	 ehitusel kergema töö peale , valvuriks või nii . 
5	NA	 Käisin kontoris rääkimas , nemad ei tahtnud kuuldagi . 
5	NA	 Ütlesin , et arst tahab mind ATEK-i saata kui töövõime kaotanut jne , et käisin ka hullukas ära ja seal pakuti ravivõimalust . 
6	NA	 Nagu ma ei teaks , ma olen seal , teistel asjaoludel küll , juba olnud . 
6	NA	 Seal ma radikuliidi simuleerimist õppisingi , kondihaiged on ju kergemate hulludega koos . 
6	NA	 Ainus , mida ma ei teadnud , oli see , et radikuliit peab tsiviilis paari nädalaga üle minema . 
6	NA	 Hullukas olid nad ikka kuude kaupa . 
6	NA	 Kaalusin juba võimalust - et ase ja toit hooleta - , aga nagu ei meelitanud ka . 
6	NA	 Läksin uuesti kontorit hirmutama , et kui kergemat otsa ei saa , pean haiglasse minema , platsil töötamine on välistatud . 
6	NA	 Siis üks näitsik haaraski peast kinni ja küsis , kas ma täienduskursustele ei taha minna . 
6	NA	 Ütlesin , et troppijate omadel ma juba käisin ja tsiviilkaitse omadel ka , aga üldiselt olen nõus . 
7	NA	 Selgus , et kedagi tuleb saata arvutusmasinate kursustele , aga keegi ei taha : kellel on niigi palju tööd ning kes lihtsalt kardab ja ei mõika . 
7	NA	 Aga kui mina läheksin , ehk siis mu tervis selle kahe kuuga paraneks ja ehk siis jõuaks hiljem midagi vaadata . 
8	NA	 Pull värk , mõtlesin , ja panin ennast rauakoolis kirja . 
8	NA	 Üldiselt olid seal kursustel igasugu pomod koos , raamatupidajad ja osakonnajuhatajad ja muidu insenerid . 
8	NA	" Panin ankeeti oma tavalise keskmise asemel hariduseks kesk-eri ja ametiks "" brigadir "" - pelgasin , et muidu kihutavad minema . "
9	NA	 Algul olid mingid loengud , ma ei saanud õhkagi aru ega oska siiamaani öelda , millest seal räägiti . 
9	NA	 Aga pomod kritseldasid üles märkida ja ma võtsin ka paberi ette . 
9	NA	 Sirgeldasin lõustu ja leidsin , et nüri värk küll , kui kaks kuud niisugust loba tuleb kuulata , tsiviilkaitses olid vähemalt igasugused ilged pildid varemetest ja varjenditest ning mõni põrunud veteran läks ise oma jutust nii hoogu , et pritsis valehammaste vahelt laias kaares tatti . 
10	NA	 Aga kui saime kompuutrite ligi , selgus , et asi on täitsa lihtne ja neid keerulisi sõnu pole üldse vaja . 
10	NA	 Paari päevaga oli mul asi käpas . 
10	NA	 Mitte programmide kirjutamine , muidugi , aga üldised põhimõtted . 
10	NA	 Naljakas küll , aga selle kompuutrite-värgi seletamine on palju keerulisem kui praktiline tegutsemine . 
10	NA	 Ja pomodel ei olnud konspektidest kasu midagi , esitasid aga tühme küsimusi , et millal ja kuhu nupu peale vajutada . 
10	NA	 Vajuta , kuhu satub , ja kui süsteem rippuma jääb - et kui arvuti ei reageeri enam ühelegi klahvile - , siis võtad seinast välja ja paned tagasi ning võid uuesti proovida ... 
11	NA	 Siis mul tuli meelde üks kutt , kes oli töökohta vahetades eelmisest kohast midagi pihta pannud - ja kas ta ei nimetanud neid mitte flopideks ? 
11	NA	 Otsisin ta üles , enamik olid uputusaegsed kaheksatollised , aga paar viiest oli ka ja need ma ärisin talt ära . 
12	NA	 Järgmisel päeval kursustel laiasin , et mulle töö juurest eraldati ja et kuidas nende kasutamisega õieti on . 
12	NA	 Asi on selles , et enamik moosi on arvutis kõvaketta peal , ja seal on ta kõigile näha - aga me polnud selles klassis ainuke kursus . 
12	NA	 Ja kui mõnele ülemusele satub silma alla miski , mis talle ei meeldi , võib ta selle hoobilt maha kratsida . 
12	NA	 Seda ma olin märganud küll , et mõnel arvutil on mängud peal ja mõnel ei ole . 
12	NA	 Aga kui sul on oma flopi , pole see kellegi asi , mida sa seal hoiad . 
13	NA	 Mängude otsimise õppisin ma esimese asjana ära ega pööranud andmepankadele ja programmeerimisele erilist tähelepanu . 
13	NA	 Mõni mäng käib vile ja vingumise ja kärinaga , aga ette seda ju ei tea , ning siis vahtisid kõik ehmunult sinnapoole , kus mina istusin . 
13	NA	 Üks noor sell , kes meid parasjagu juhendas , astus ligi ja ütles , kuhu vajutada , et vile ära kaoks . 
13	NA	 Nii ma tulistasin kaks tundi marslasi ja saavutasin teatava osavusegi . 
13	NA	 Aga pärast tuli see juhendajast vend uuesti ja tuletas meelde , et igaüks peab kursuste jooksul oma erialalt programmi koostama . 
13	NA	 Mulle tuli meelde , kuidas kohe alguses üks suurem ülemus , kellel oli kogu aeg niisugune nägu , nagu hambad valutaksid või oleks pohmakas , oli oma valulise häälega meile teatanud , et tema poolest võime me kohe nelja tuule poole kaduda , sest meie õpetamise raha on juba üle kantud ; et mitte talle pole vaja , et me õpiksime , vaid meile endile on kangesti tarvis . 
