par_nr	head	sentence
1	 Voorus ja patt 	 Voorus ja patt 
2	 I osa : Voorus ja patt 	 I osa : Voorus ja patt 
3	NA	" "" Keset aprikoosivärvilist magadistuba kerkis voodi altarina . "
3	NA	 Seda ümbritsesid sakilised sirmid kui liblikatiivad . 
3	NA	" Nende vahel lamas väike printsess naeratavate silmadega , vaadates lakke . "" "
4	NA	 Marit Möller nautis iga loetud sõna . 
4	NA	 Päike paistis kaldu aknasse . 
4	NA	 Oli esimene vaba päev pärast pikka töist kooliaastat . 
5	NA	" "" Printsessi meelespeasilmad pilgutasid vastuhelkide taktis . "
5	NA	 Ta roosad kõrvad naeratasid patjade kuhjas . 
5	NA	 Kuskil vaipade meres kihistasid naeru väikesed varbad . 
6	NA	 Siis ilmusid äkki vaiba alt peened sõrmed . 
6	NA	 Käed kerkisid ja tegid võistu vastuhelkidega sõrmjäneseid , sõrmkängurusid , sõrmkaelkirjakuid . 
6	NA	" See loomaaed jooksis ja hüples , ning printsess naeris nõrkemiseni . "" "
7	NA	 All õues pragas Fjodorovi-eit lastega . 
7	NA	 Mingi auto trügis vaevaliselt kitsasse hoovi . 
7	NA	 Oli kuulda rämedaid meeshääli . 
7	NA	 Marit muigas sarkastiliselt . 
7	NA	 Mis läks talle korda argine sagin akende taga ! 
7	NA	 Kui ta kord juba oli tellinud endale Tuglase kogutud teoste sarja , siis tahtis ta selle ka korralikult läbi lugeda . 
7	NA	 Ta oli nimme jätnud suurima maiuspala vahele , et sellega esimesel koolivabal hommikul maiustada . 
7	NA	 Hommik oli ka tõesti seda mõnu väärt . 
7	NA	 Kaks ülemist aknaruutu tänavaäärse maja kivikatuse kohal olid lõputu-läbipaistev-sinised ja soekuldne valguskardin , milles tantsisklesid tolmukübemed , lahutas köögi ukseava voodiga toapoolest . 
8	NA	 Madam Pimpa , Silvia ja Dorina astusid printsessi tuppa , lähenesid reveranssi tehes , kaasas kullatud pott ja kandikul hommikueine . 
8	NA	 Pimpa tõstis särgi üles , paljastades printsessi roosa tagumiku ja asetas lapse potile . 
8	NA	" "" Sel hetkel , mil kuuldus tasane veesulin , kostsid kõrvaltoast viole d'amour'ide õrnad helid . "" "
9	NA	 Marit ringutas ja pani raamatu tagasikätt lauale . 
9	NA	 Keegi ei tule tema juurde kullatud ööpotiga . 
9	NA	 Ta teadis ette , mis sellest roosast ärkamisest novelli lõpuks saab , ega kavatsenud kogu seda teekonda joonelt läbi käia . 
10	NA	 Marit võttis roosa froteehommikumantli ümber ja suundus köögi poolele . 
10	NA	 Läbi ukse oli kuulda , kuidas vana trepp kägises raskete võõraste sammude all . 
10	NA	 Karedad hääled rääkisid midagi . 
10	NA	 Mugavam oli kempsu minna siis , kui kedagi koridoris pole . 
10	NA	 Marit võttis seljast nii hommikumantli kui öösärgi . 
10	NA	 Mida need mehed koridoris ka ei sõeluks ega jahvataks , tema ei anna end ometi segada ! 
10	NA	 Tal oli parajasti hambahari suus ja nägu pastavahune , kui uksele kõva käega koputati . 
10	NA	" Ta tahtis öelda : "" Oh ! "" kuid pidi enne hambaharja suust välja võtma . "
10	NA	 Kibekähku tõmbas ta märja peoga põsed puhtaks , kahmas hommikumantli selga ja astus ukse juurde . 
10	NA	 Vöö ei olnud nii kähku pihku hakanud . 
10	NA	 Hoides ühe käega hõlmu kurgu all koos ja teise käe küünarnukki vöö kohal avas ta ukse , märkamata küsidagi , kes koputab . 
11	NA	 See oli üks võõras mees . 
11	NA	" "" Vabandage "" sõnas too . "
11	NA	 Vähemalt ei üritanud ta palumata üle läve astuda . 
12	NA	" "" Jah ? "" "
12	NA	 Marit nägi ähmast siluetti , nägi , et mehel on seljas sinine pluus ja jalas teksad . 
12	NA	 Mis ilmega see uksetagune persoon teda vahtis , seda Marit ei teadnud . 
12	NA	 Ta pöördus , et oma miinus kuus prille võtta , kobas neid mööda lauda taga , hoides küünarnukiga hõlmu koos , see oli vaid mõne sekundi küsimus , ja ta kuulis , kuidas keegi tema selja tagant hoogsalt kööki astus . 
13	NA	 Marit sai prillid ninale ja keeras end õhku kopsu tõmmates tulija poole , et öelda Ei , see oli keegi väike ja tüse võidunud tunkede ja baretiga kiilaspea . 
13	NA	 Ja veel üks töörõivais , lilla nina ja võidunud soniga vanamees venis jalgu järele vedades üle läve , samal ajal , kui paks rusikaga Mariti köögi seina kopsis . 
14	NA	 Sinise särgi ja tumedate säbrus juustega mees seisis endiselt lävepaku taga , näol vabandav poolnaeratus . 
14	NA	 Kiilakas seletas sinise ninaga subjektile midagi viletsas vene keeles , koputas seina veel mõnes teiseski kohas ja tormas koridori , sininina tema järel . 
14	NA	 Šokeeritud Marit astus uksele , jõudis veel näha , kuidas tüseda mehe taguots pööninguluuki kadus ja soni sellele järgnes ning peagi kõik muu , mis soni juurde kuulus — võimatuseni räpane tööülikond , allakeeratud säärtega kirsasaapad ja pesematuse hingemattev lehk . 
15	NA	" "" Te ehk seletate ... "" "
16	NA	" "" Veel kord andestust ! "" "
16	NA	 Päevitunud , meeldiv , tolerantse ilmega arukas nägu oli endiselt naerukil . 
16	NA	" "" Ei jõudnud öelda , et olen elamuvalitsusest , insener "" "
17	NA	 Marit uuris teraselt , kuid ei lugenud ilmest välja irooniat , mida ta vaistlikult aimas . 
17	NA	 Oli kuulda , kuidas kaks meest pööningul ringi trampisid ja paks kõlaval häälel midagi seletas . 
18	NA	 Kogenud õpetajanna oli küllalt vilunud suhtleja , et teada - kui ta laseb uksel seisjal veel kaks lauset öelda , vabandab too enda välja ja Maritil pole siis enam võimalik talle sarkastiliselt nina pihta anda . 
18	NA	" "" Kas ma tohin nüüd ukse kinni panna ? "" küsis ta ja vaatas lävel seisja jalgu . "
18	NA	 Ilmne mõistaandmine , et need jalad tuleks paari vaksa jagu tahapoole viia . 
