par_nr	head	sentence
1	 Pika tee algus 	 Pika tee algus 
2	NA	 Veiko Belials 
3	 1 . 	 1 . 
4	NA	 Hiiglaslik liinilaev lähenes majesteetlikult planeedi soojas kumas kümblevale orbitaalkompleksile , mis laisalt valguse ja varju piiril uneles . 
4	NA	 Laserkiirtest kantud optiliste ja digitaalsete koodide read sööstsid läbi tühjuse , koordineerides kahe gigandi kohtumist . 
5	NA	 Hallinevate juuste ja veidi väsinud pilguga mees seisis vaateplatvormil ning silmitses läbi platvormi kuppellae kompleksi vargset kasvamist . 
5	NA	 Päike , mis planeedi varjust välja piilus , pani kogu kompleksi hõbedaselt särama nagu kastepisara kargel hommikul . 
5	NA	 Mees võpatas . 
5	NA	 Talle meenutas orbitaal oma dokiehitiste , kombitsataoliste haaratsite ja haralihoidvate sektsioonidega ämblikku . 
5	NA	 Hõbedast ämblikku , kes kasteses rohus saaki luurab . 
6	NA	" "" Ilus , kas pole ? "" kostis ta selja tagant vaimustunud hääl . "
6	NA	 Mees vaatas üllatunult ringi . 
6	NA	 Ta oli lootnud , et saab üksi olla . 
6	NA	 Laev oli ümber ehitatud vanamoodsast ja aeglasest ristlejast ning kogu ta rohmakas kere oli selliseid turistidele mõeldud vaateplatvorme täis pikitud . 
6	NA	 Ta oli tõepoolest lootnud , et siin ei sega teda keegi . 
7	NA	" "" Nojah , "" pomises ta ebalevalt , silmitsedes tüdrukut , kes oli ta kõrvale astunud . "
7	NA	 Tüdruk oli sale ja sihvakas , nõtke , veidi poisiliku kehaga . 
7	NA	 Ta kandis liibuvaid nahkpükse ja lühikest poolläbipaistvat pluusi , millest tillukeste rindade tumedad nibud kergelt läbi kumasid . 
8	NA	 Mees pööras pilgu ära ja süüvis taas orbitaali uurimisse . 
8	NA	 Mõnede meelest võis isegi saaki luurav ämblik ilus olla . 
9	NA	 Mees ei teadnud isegi , mis teda häiris . 
9	NA	 Tavaliselt oli ta palju seltsivam . 
9	NA	 Orbitaal see igatahes polnud . 
9	NA	 Ja arahnofoobiat ta ka ei põdenud . 
9	NA	 Pigem oli see planeet , mis teda ettevaatlikuks tegi . 
9	NA	 Planeet , mis kandis kiskja nime . 
9	NA	 Hunt . 
9	NA	 Või isegi mitte planeet , vaid see , mis planeediga seotud oli . 
9	NA	 Ta pidi selles selgusele jõudma ... 
10	NA	" "" See on nagu sädelev teemant mustal sametil ... "" "
11	NA	 Mees ärkas oma mõtetest . 
11	NA	 Tüdruk polnud ära läinud , vaid seisis endiselt ta kõrval ning imetles vaadet . 
11	NA	 Siis ta pöördus ja vaatas mehele otsa . 
11	NA	 Ta polnud ilus . 
11	NA	 Vähemasti mitte selle sõna klassikalises tähenduses . 
11	NA	 Pigem oli ta ... kütkestav . 
11	NA	 Jah , see oli õige sõna . 
11	NA	 Kütkestav , lummav , hurmav . 
11	NA	 Mustad sirged juuksed langesid õlgadele , suu oli pisut suurevõitu , nägu kõhn , silmad ... 
11	NA	 Just silmad olid need , mis tüdruku nii lummavaks muutsid . 
11	NA	 Suured , siirad , imestavad , tulvil mingit nimetut küsimust . 
11	NA	 Naerualtid silmad , täis tuhandeid tantsisklevaid sädemeid . 
11	NA	 Silmad , mis näisid helisevat . 
12	NA	" "" Tal on kellukesed silmades ! "" leidis mees end jahmunult mõtlemas . "
12	NA	 Ta väristas end sisimas , üritades tüdruku lumma murda . 
12	NA	" "" Ütle midagi , muidu muutub olukord piinlikuks ! "
12	NA	" Ja ära jõllita ! "" "
13	NA	" "" Mulle meenutab see ämblikku . "" "
14	NA	 See polnud see , mida ta oli tahtnud öelda . 
14	NA	 See polnud hoopiski see . 
15	NA	" "" Tõesti ? "" päris tüdruk huviga . "
15	NA	" "" Te olete bioloog ? "" "
16	NA	" "" Ei . "" "
16	NA	 Mees naeratas . 
16	NA	" "" Mind huvitab siinne usk . "" "
17	NA	" "" Tähendab — teoloog . "" "
18	NA	" "" Mulle meeldib mõelda endast rohkem kui filosoofist . "
18	NA	 Ma otsin seoseid , põhjuseid . 
18	NA	" Kunagi öeldi minusuguste kohta "" õpetlane "" , "" kehitas mees õlgu ja sirutas käe . "
18	NA	" "" Uber Gileas . "" "
19	NA	" "" Carna LaRupa . "" "
20	NA	 Tüdruku käepigistus oli tugev ja asjalik . 
21	NA	" "" Turist ? "" päris Uber . "
22	NA	 Nüüd oli tüdruku kord naeratada . 
22	NA	 Ta raputas pead . 
23	NA	" "" Ega's ometi .. ? "" jahmus Uber . "
24	NA	" "" Täpselt nii , "" noogutas Carna . "
24	NA	" "" Palverändur . "" "
25	NA	 Loomulikult . 
25	NA	 Kõik , kes Hundil käisid , olid kas turistid või palverändurid . 
25	NA	 Või okultistid . 
25	NA	 Uber ohkas . 
26	NA	" "" Kuulge , lähme kuhugi , kus saab istuda , "" pakkus ta eneselegi ootamatult . "
26	NA	" "" Ajame juttu . "
26	NA	" Muidugi , kui teil midagi selle vastu ei ole ... "" "
27	NA	" "" Minugipoolest , "" nõustus tüdruk . "
27	NA	" "" Mul polnud plaaniski siin seistes põkkumist oodata . "" "
28	NA	 Ta pöördus minekule ja Uber tundis , kuidas ta süda kokku tõmbus . 
28	NA	 Miski selles tüdrukus meenutas talle Tameryt . 
28	NA	 Olgu peale , et Tamery oli olnud tüdrukust peaaegu poole vanem , pehme ja lopsakas brünett , oli neis siiski midagi ühist . 
28	NA	 Asjalik ja konkreetne hoiak , mis varjas parajat annust romantikat ; sama sädelus silmades ja seegi , et ka Tamery oli ... 
29	NA	 Stopp ! 
30	NA	 Uber sundis end sellele mitte mõtlema . 
30	NA	 Mitte praegu . 
31	NA	 Praegu läheb ta selle tüdrukuga baari ja üritab lihtsalt välja selgitada , miks ... 
32	NA	 Kuplist lahkudes heitis ta viimase pilgu orbitaalile . 
32	NA	 Laev oli suunda muutnud ning päike oli taas planeedi varju kadunud . 
32	NA	 Valguse ja varju piiril , galaktilise pimeduse ääremail , luuras orbitaal nagu kosmiline ämblik . 
33	NA	 Nad leidsid vaba laua varjulises nishis ning Uber tellis dringid . 
33	NA	 Tüdruk istus ta vastas teisel pool lauda ja silmitses teda uurivalt . 
33	NA	 Uberit paelus taas üllatunud ilme tüdruku silmades . 
34	NA	" "" Tal on kellukesed silmades ! "" oli ta mõni hetk tagasi mõelnud . "
34	NA	 Ta oli taas muutunud romantiliseks , nagu neil aegadel , kui Tamery veel ... 
35	NA	 Neetud ! 
35	NA	 Uber langetas pilgu , et tüdruku silmadest pääseda ning leidis end ühtäkki tüdruku rindadega tõtt vaatamas . 
35	NA	 Tumedad nibud , mis pluusi alt paistsid , sihtisid teda üle laua nagu teine paar silmi , nõudlikud ja väljakutsuvad . 
35	NA	 Õhuke poolläbipaistev materjal tõstis nooruslikud vetruvad rinnad esile , selle asemel et neid varjata , ning Uber tundis , kuidas arutu kirg kubemes hõõguma lõi . 
35	NA	 Hetkeks paiskus maailm segi . 
35	NA	 Ta oleks tahtnud sõgedas ihas üle laua kummarduda , särgi üles rebida ning end vampiirina nende häbitute rindade külge imeda , et tunda , kuidas nibud ta huulte all kikki tõusevad ... 
36	NA	 Mingi osa temast oli keha reaktsioonist segaduses . 
36	NA	 Tüdruk polnud ju tema tüüp ! 
36	NA	 Talle meeldis lopsakam ilu , prink ja meelas . 
36	NA	 Nagu Tameryl ... 
37	NA	 Uber ägas mõttes . 
38	NA	 Tamery ! 
39	NA	 Mõte naisest mõjus kainestavalt . 
39	NA	 Ta lõpetas tüdruku silmadega õgimise , rebis end ta rindadest lahti ja tõstis uuesti pilgu — ainult selleks , et kohata taas tüdruku oma . 
40	NA	 Tüdruk muigas . 
41	NA	 Uber tundis , kuidas keha äkki rahunes . 
41	NA	 Veri valgus nüüd hoopis näkku ja ta kõrvad lõid reetlikult õhetama . 
42	NA	" "" Kuramuse nähvits ! "" mõtles ta . "
42	NA	" "" Ta teadis , et see juhtub . "
42	NA	" Ta ju lausa ootas seda ! "" "
43	NA	 Ja ta ise oli ka tore ! 
43	NA	 Midagi mõtlemata oli ta valinud laua baari hämaramas nurgas , kus armunud paarikesed said kõrvaliste pilkude eest varjatult teineteise kätt hoida ja kudrutada . 
43	NA	 Nagu ta selleks olekski siia lennanud ! 
43	NA	 Kurat ! 
44	NA	 Mis selle tüdruku nimi oligi ? 
44	NA	 Caila ? 
44	NA	 Carla ? 
44	NA	 Carna ? 
44	NA	 Jah , õige ! 
44	NA	 Carna ! 
44	NA	 Carna LaRupa . 
45	NA	" "" Miks te seda teete , Carna ? "" päris ta järsult , peaaegu käratades . "
45	NA	" "" Palverännak Hundile . "
45	NA	 Miks ? 
45	NA	" Mida te loodate sealt leida ? "" "
46	NA	 Tüdruku silmad läksid suureks . 
47	NA	" "" Kas te ei leia , et te olete pealetükkiv ? "" päris ta solvunult . "
48	NA	" "" Vabandust , "" kogeles Uber . "
48	NA	" "" See oli minust taktitu ... "" "
48	NA	 Ta tõstis käed ja hõõrus meelekohti , üritades sisemuses mäslevaid vastuolulisi tundeid kontrolli alla saada . 
48	NA	" "" Lihtsalt ... ma olen pisut väsinud . "
48	NA	" See lend ei mõju mulle hästi . "" "
