par_nr	head	sentence
1	 Teoloogiatudengi katse 	 Teoloogiatudengi katse 
2	NA	 Maniakkide Tänav 
3	NA	 Tüüp istus Narva maantee ühiselamus ja õppis eksamiks . 
3	NA	 See oli tal teine kord , sest esimesel katsel põrus vennike haledalt läbi . 
3	NA	 Morni näoga libistas ta pilgu üle ridade , mis tarkusest pungitudes talle arusaamatutena vastu jõõrasid . 
4	NA	" "" Nagu kohtumine tulnukate ja nende grammatikaga , "" mõtles tüüp . "
4	NA	" Ta heitis ahastava pilgu õhtusele Narva maanteele ja "" Konsumi "" kaubamajale . "
4	NA	 Vaikselt rabistas vihma aknaklaasile . 
4	NA	 Tüüp süütas suitsu ja suunas jõupingutusega uuesti pilgu konspektile . 
4	NA	 Ilma mingi eelhoiatuseta kustus toas äkki elektrivalgus . 
4	NA	 Hetkeks ühiselamu nagu vakatas . 
4	NA	 Noormees vaatas apaatselt ainsa silmapilguga tumedaks muutunud lehekülge oma ees . 
4	NA	 Siis kostis uksekõmatus ja kajavas koridoris hakkas kostma venekeelset juttu . 
4	NA	 Keegi hirnatas , talle möirati Tarzani kombel vastu . 
4	NA	 Kuuldus tüdrukute kiljatusi , müdinal traaviti mööda pimedat koridori . 
5	NA	" "" Põrgusse , "" mõtles tüüp ja lasi paberi käest . "
5	NA	 See võttis tuule alla ning libisedes mööda lauaplaati , kadus põrandahämarusse . 
6	NA	 Toauks kääksatas , kui selle katkisele lingile rõhuti ja avanes räntsatades . 
6	NA	 Tüüp vaatas üle õla selja taha aga aknast sisselangevad laternakiired ei valgustanud tulijat küllaldaselt . 
7	NA	" "" No mis ? "" "
8	NA	 Tulija köhatas kohmetult . 
8	NA	" "" Tereee ... "" venitas ta lustlikkust teeseldes . "
8	NA	 Ukselseisja selja tagant traavisid möirates mööda paar venelast . 
8	NA	 Ühikas oli neid täis . 
9	NA	" "" Jaa-jah , "" vastas tüüp tulija tervitusele . "
9	NA	 Suitsuots tema näos hõõgus ükskõikse ja veidi ebasõbralikuna . 
9	NA	 Tulija astus sisse ja köhatas veel kord kohmetult . 
10	NA	" "" Ma olen su üleaedne , "" selgitas ta siis ebalevalt . "
11	NA	" "" Noo-jahh , "" venitas tüüp . "
11	NA	 Ta polnud just erilist huvi tundnud naaberelanike vastu , tal oli oma sõpruskond . 
11	NA	 Tuhk suitsuotsalt kadus mõlema toasviibija jaoks hääletult pimedusse . 
12	NA	" "" Vaata mul oleks sulle üks palve , "" Tulija poetas end tüübi voodi otsale . "
12	NA	" "" Ma kuulsin , et sa oled mingil määral vaimsete huvidega ... kunst ja muusika ja nii edasi ... ? "" "
12	NA	 Koridori kaugemast otsast kostus jälle kellegi kiljumist ja poisinolkide naeru . 
13	NA	" "" Ja "
13	NA	 .... 
13	NA	" ? "" Tüüp puhus suitsu Tulija poole , kuid see hajus enne sihtmärgini jõudmist . "
13	NA	 
14	NA	" "" Ma sooviks , et sa osaleksid ühes minu poolt korraldatavas katses ... "" "
15	NA	" "" Küülikuna , "" lisas tüüp kajana . "
15	NA	 Tulijal võttis taipamine natuke aega . 
15	NA	" "" Jah , umbes jah , "" noogutas ta siis . "
16	NA	" "" Mis katse on ? "" "
17	NA	 Suitsuring nirises lae poole , möödudes aknast , mille paarimillimeetrise pinna taga sirises vihmapiisku . 
18	NA	" "" Kuulata ära üks minu esitatud muusikapala ja anda selle tulemusele hinnang . "" "
18	NA	 Tüüp mühatas . 
18	NA	 Igast lolle ikka leidub , mõtles ta . 
18	NA	" "" Nojah . "
18	NA	 Mida muud ma siin pimeduses ikka tegema peaksin . 
18	NA	" Too oma lugu lagedale . "" "
18	NA	 Tulija tundus üllatusest võpatavat . 
18	NA	 Laskmata ennast kaks korda paluda , kargas ta püsti ja kadus ukse paukudes pimedusse . 
18	NA	 Koridoris lisandus melusse veel lisahääli . 
19	NA	 Kärmelt kui nirk libises Tulija taas tuppa , asetades oma muusikainstrumendi keset põrandat . 
19	NA	 Pimedas ei taibanud tüüp hästi , mis pilliga on tegu . 
19	NA	 Tulija asetas raamaturiiulisse mingid piklikud esemed ja süütas põlema . 
19	NA	 Need olid küünlad . 
19	NA	 Tüüp astus küünalde juurde . 
19	NA	" "" Milleks neid veel vaja on ? "" "
20	NA	" "" Ma tahan su reaktsiooni näha . "" "
21	NA	 Tulija näppis midagi oma pilli kallal ja lükkas siis toaukse kjinni . 
21	NA	 Samal hetkel tundusid katkevat kõik väljastpoolt tulevad helid . 
21	NA	 Ruumis tinises vaid nõrk plärin , mis meenutas vaibuva basskitarri häält . 
22	NA	" "" Istu voodile , "" käsutas Tulija , seistes pilli taga seljaga küünalde poole . "
23	NA	" "" Mis imelik pill see sul on ? "" küsis tüüp , silmitsedes tulija ees olevat hämarat varju . "
24	NA	" "" Sina kuula ! "" "
25	NA	 Kile karje lõi nagu kirves tüübile pähe . 
25	NA	 Silmapilguga segunes sellesse Tulija kriiskav hääl . 
25	NA	 Mürinal vajus pillihääl bassidesse . 
25	NA	 Tüüp haaras peast . 
25	NA	 Helid tundusid raputavat ta sisikonna segamini . 
25	NA	 Rindkere vappus helilöökidest , ägades , mida metsikus heliderajus kuuldagi polnud , vajus tüüp põlvili kägarasse . 
25	NA	 Higi pressis end kehast välja , tundus nagu kasvaksid higiojad peenteks jätkedeks ta küljes , kõhus keerati nuga ja pead tambiti raske vasaraga . 
25	NA	 Kisendava kakofoonia tipul saabus lõikav vaikus . 
25	NA	 Pimedus tundus tüübile peale langevat . 
25	NA	 Vaikus oli veel jubedam kui möllanud muusika . 
25	NA	 Tulija seisis pimeduses vaikselt ja liikumatult , siis , mõne hetke pärast kohendas ta instrumendil näppe . 
25	NA	 Õrnalt hakkas taas kostma plärinat . 
25	NA	 Tüüp põrandal tõmbus kössi . 
26	NA	" "" Püsti ! "" käsutas Tulija . "
27	NA	 Tüüp tõstis kartlikult pea . 
28	NA	" "" Püsti ! "" "
29	NA	 Aralt ajas käsutatav end jalule . 
29	NA	 Tulija võttis taskust diktofoni ja pannud selle lindistama , asetas aparaadi enda lähedale riiulile . 
30	NA	" "" Neljanda kursuse teoloogiatudengi praktiline töö teemal "" Vaimu olemusest "" . "
30	NA	 Tulija vaatas küünla ja immitseva tänavalambi kumas vastasseinas võbisevat inimkuju . 
30	NA	" "" Esimeses faasis allutasin endale katsealuse vaimu . "
30	NA	 Tänu juhuslikult aset leidnud elektrikatkestusele polnud võimalik täpselt jälgida protsessi väliseid nähte . 
30	NA	 Niipalju võib siiski öelda , et arvatavasti lõhkus zanazöör katsealuse biovälja ning selle jäänused materialiseerusid kehast algavate jätketena . 
30	NA	 Jätked on umbes meeter pikad , 1-2 sentimeetrit läbimõõdus ja arvatavasti , niipalju kui praeguses valguses võib otsustada , pruunikas- kollakat värvi . 
30	NA	 Tunduvad limased . 
30	NA	 Paistab , et allutamine pole toimunud täielikult — mõndasi käsklusi peab kordama . 
30	NA	" Lähen edasi teise faasi : keha eemaldamine . "" "
31	NA	" "" Et katsealuse vaim ei saaks enne visualiseerimisprotsessi hajuda , loon zanazööriga barjääri . "
31	NA	 Selleks , et vaim kehast täielikult eraldada , on tarvilik kehaõõnsuste võimalikult suurem avamine . 
31	NA	 Niisuguse töö jaoks sobivateks instrumentideks valisin elektriketassae kolba avamiseks , kirve jäsemete ja rindkere jaoks , ning skalpelli kudede tarbeks . 
31	NA	" Katsealuse paralüseerimiseks lõikan tal läbi seljaaju . "" "
32	NA	 Tulija võttis zanaazööri sahtlist skalpelli . 
33	NA	" "" Pööra ümber ! "" käsutas ta . "
33	NA	 Tüüp vahtis teda ükskõikselt ja pööras siis vastu tahtmist ümber . 
34	NA	" "" Lase pea ettepoole ! "" "
35	NA	 Tüübi pea kummardus hämarusse . 
35	NA	 Tulija võttis skalpelli ja astus tüübi paljastatud kukla juurde . 
35	NA	 Sõrmedega kombates otsis ta enam-vähem õige koha ja tõmbas sealt lülide vahele sügava haava . 
35	NA	 Tüüp ei liigutanudki , ehkki Tulija oli valmis teda lihaste lõtvumisel kinni püüdma . 
35	NA	 Tulija uuris oma lõikekohta hoolikamalt ja valmistus veel korra lõikama . 
35	NA	 Vastu ta kätt puutus biojätke . 
35	NA	 Miski haaras Tulijat puusast , too hüppas tahapoole ja sähvas vihaselt skalpelliga . 
35	NA	 Jätke lasi lahti ja kukkus pimedusse . 
35	NA	 See-eest haaras järgmine temast kinni ja järgmine . 
35	NA	 Kombitsad tundusid venivat . 
35	NA	 Raevukalt sahmis Tulija terasega . 
35	NA	 Paari hetke pärast oli ta pea täielikult sisse mässitud ja kukkus koos tüübiga põrandale . 
35	NA	 Tulija laskis skalpelli lahti ja küünitas pilli poole . 
35	NA	 Kiunatusega mattis helilaviin rabelevad kehad enda alla . 
35	NA	 Jätked tundusid jäigaks tõmbuvat ja seejärel lõtvuvat . 
36	NA	 Tulija rebis end lõdvast puntrast välja ning koperdas pilli taha . 
36	NA	 Tulija võlus instrumendist välja kõige raskemini haamerdavad metsikud viisid . 
36	NA	 Jätked visklesid vahetevahel , venides üha suuremaks kuhjaks . 
36	NA	 Seevastu tüübi tundetu keha tõmbus üha enam kokku . 
36	NA	 Kiunudes lõikusid uued helid vonklevasse kuhja . 
36	NA	 Helimöll muutus üha pöörasemaks . 
36	NA	 Siis saabus räigelt jäik vaikus nagu sein . 
36	NA	 Küünlad olid põlenud üsna pisikesteks ja heitsid toale õrnasid hubelevaid varje . 
36	NA	 Tüüp oli kuskil jätkukuhja all . 
36	NA	 Tulija sumpas läbi nende sinna , kus ta noormeest viimati näinud oli , ja peksis jalaga kuhja laiali . 
36	NA	 Viie-kuue aasta vanuse õrna lapsena lebas tüüp pikki ja sügavaid varje heitvate jätkekuhjade vahel nagu sügava kaevu põhjas . 
36	NA	 Tulija kahlas tagasi , võttis elektriketassae ja pistis selle seina . 
36	NA	 Kummardudes lapse kohale , vajutas ta nuppu . 
37	NA	" "" Neetud ! "" sisistas Tulija ärritunult . "
37	NA	 Talle meenus , et elektrit ju polnud . 
37	NA	 Vihase käeliigutusega kadus saag pimedusse . 
37	NA	 Kolmandat korda zanazöörini jõudes , rabas ta vihaselt kirve ning virutas lapseni jõudes pea sihtimata õblukesele kehale kõhtu . 
37	NA	 Röhatades kadus kirvetera kõhukoopasse . 
37	NA	 Tulija ise kaotas löögihoost libedal kombitsahunnikul tasakaalu ja kukkus , määrides end nende lägaga veelgi rohkem kokku . 
37	NA	 Ta ajas end jalule ja sikutas kirvest lapsekehast välja . 
37	NA	 See ei tahtnud õnnestuda , kuna kirve tagumine , kirkaga pool , oli takerdunud kuhugi soolikatesse . 
37	NA	 Rapsimise peale rebenes jämesool mitmest kohast ja tuppa levis vänget soolehaisu . 
37	NA	 Ka magu oli viga saanud ja sellest topeltjälgist lehast tundis Tulija , et hakkab oksele . 
