par_nr	head	sentence
1	 MART JA TOIVO 	 MART JA TOIVO 
2	NA	 Arvo Uustalu 
3	NA	 Esimestel kordadel oli mul psüühiliselt raske talle puurondiga pähe virutada . 
3	NA	 Ma polnud seda kunagi varem teinud . 
3	NA	 Kartsin , et väike ohver võib uimasena elama jääda ja siis valust ning hirmust kriiskama hakata . 
4	NA	 Silmad peas punnis . 
5	NA	 Õnneks harjub teiste valuga õige ruttu . 
5	NA	 Kiiremini kui arvatagi oskate . 
5	NA	 Vähemalt kahe nädala jooksul esimese argliku löögi sooritamisest arvates . 
6	NA	 Kuna minu põhjamaisel kodumaal algas just majandusliku kitsikuse periood , otsustasin põlise intelligendi ja haridustöötajana endale töö kõrvalt ise leiba hankida . 
6	NA	 See tähendab liha . 
7	NA	 Inimeste hiilivale näljatundele lisandus vaimne degenereerumine . 
7	NA	 Viimane jäägu meie vahele , sest taoliste vaimse degenereerumise faktide avalikkuse ette toomine võib kurvalt lõppeda . 
8	NA	 Näiteks paar kuud tagasi lasi minu kolleeg Paul end hetkeks lõdvaks ning nimetas keskmise astme debiilikut kergema astme debiilikuks . 
8	NA	 Unustas ennast ainult hetkeks . 
9	NA	 Mees kaevati kohtusse . 
10	NA	 Tänutäheks selle eest , et ta oma loomulikust südameheadusest nõrgamõistuselist õpilast klassi ees ei häbistanud ning keskmise astme debiilikuks ei nimetanud . 
11	NA	 Lisaks vanglakaristusele võeti Paulilt ära ka õpetajakutse ning eluisu . 
11	NA	 Viimati nägin meest vaimselt murtuna . 
12	NA	 Seda võis välja lugeda ta silmist . 
13	NA	 Kuna väikelihatootmise vallas mul varasemad kogemused puudusid , otsustasin kätt proovida neist kõige väiksemate ja pikakõrvalisematega . 
13	NA	 Vaevalt poolepuudaste vendadega . 
13	NA	 Isegi suurematele kõutsidele kaalus allajäävatega . 
14	NA	 Omavahel öeldes , olen kuulnud , et mitmed ärimehed kasutavad küüliku ja kassi kere sarnasust osavalt ära . 
14	NA	 Ise otsustasin siiski väiksema kaaluga loomade ja proteiinirikkama liha kasuks . 
15	NA	 Enne pikk-kõrvade juurde asumist lugesin läbi mitmeid vastavasisulisi käsiraamatuid , uurisin pilte , proovisin koguni kuiva trenni teha ning keppi vastu mändi lüüa . 
16	NA	 Sobivate töövõtete omandamisel oli kõige rohkem abi fotost , kus määrdunud põllega lihatsehhi töötaja hoidis nuumlooma tagujalust kinni ja kaigast paremas käes , ning näitas seda aeglaselt ette . 
16	NA	 Kuna olen pisut lühinägelik , siis tõstsin foto lausa ninaotsani , et seda paremini näha ning kaelalülide ja nuia kokkupuutenurka kiire peasttehtega välja arvutada . 
16	NA	 Tegu oli ilmselt noorloomaga , kes kasvus edasi ei võtnud . 
16	NA	 Sellised likvideeritakse kui perspektiivitud lihaloomad . 
16	NA	 Nimelt paistab loomade puhul perspektiivitus kohe silma . 
17	NA	 Tutvusin mitme lihakeha veretustamise võttega , nagu terava kõvera noaga läbi ninasõõrmete unearteri läbilõikamine . 
17	NA	 Kuid taolise robustse variandi lükkasin kohe kõrvale , sest mainitud võtte korral ta vaid uimastatakse esmalt ja lastakse koos vere väljavoolamisega aeglaselt kuhtuda . 
17	NA	 Läbi nina pole minusuguse jaoks , sobivam ehk mõnele julmale mehele . 
17	NA	 Nood tõmbavad unearteri läbi kasvõi küüliku tillukese päraku kaudu . 
17	NA	 Kui te näeksite neid mehi aktsioonis , siis mõistaksite . 
18	NA	 Kuid üks asi on seda endale silme ette kujutada või vastu puud kuiva trenni teha , teine asi on reaalsus . 
19	NA	 Mida rohkem ma seda vastu puud peksin , seda enam mõistsin , et kuiv trenn mind kalgiks ei tee . 
19	NA	 Seepärast manasin küüliku asemel silme ette inimese . 
19	NA	 Mõned pepsid väikekodanlased võivad nüüd selle peale uih öelda , aga tõesti on raske ennast häälestada nii väikese ja kaitsetu looma vastu nagu seda on kodujänes . 
20	NA	 Esimesel õhtul vaatasin veel kaua oma veriseid käsi . 
21	NA	 Kuid esimeste pikk-kõrvade järel läks nagu lepase reega . 
22	NA	 Isegi ootamatult libedalt . 
23	NA	 Sel ajal kui ema küülikul nahka üle kõrvade tõmbas , valmistasin mina juba järgmist looma ette . 
23	NA	 Muide , suurkombinaatides käib see konveieril . 
23	NA	 Nuiamehe silme kõrguselt mööduvad konksu otsa riputatud pikk-kõrvad . 
23	NA	 Sinu ülesandeks on vaid loomakestele kiiresti pähe äsada , sest muidu lipsab mõni mööda . 
23	NA	 Kui aga suitsutsehhi ilmub elus jänes , on see juba praak . 
24	NA	 Silmis metsistunud looma pilk . 
25	NA	 Vallapääsenud jänkud panevad vorstiliinide vahel väga väledalt ringi ja neid on raske tabada . 
26	NA	 Väga väledalt , kui mõistate mind . 
27	NA	 Nagu gepard Jester . 
28	NA	 Teevad haake . 
29	NA	 Hüppavad kuni kahe meetri kõrgusele . 
30	NA	 Ja viimases hädas , kogenud vorstitsehhitöötajate poolt nurka surutuna , hammustavad oma lamedate kikudega püksisäärt . 
30	NA	 Aga püksisäär on spetsiaalsest hammustuskindlast sünteetilisest materjalist . 
30	NA	 Eks proovige seda läbi närida . 
31	NA	 Te ei kujuta ette , kui kõvasti nad karjuda võivad . 
32	NA	 Oi siis kogenud kolleegide võidurõõmu , kui pikk-kõrv tagujalgupidi jämeda töömehekäe kindlas haardes . 
32	NA	 Veel viimast korda viiksatab ta , kui peaga vastu vorstiliini . 
33	NA	 Kuna olen väga tundeline inimene , elasin seda visiooni teravalt üle . 
34	NA	 Lihakehade veretustamises muutusin ajapikku lausa meistriks . 
34	NA	 Peab äsama paraja tugevusega otse nudipea kuklale . 
34	NA	 Kui hoop on täpne , siis niriseb ka paremast kõrvast verd . 
34	NA	 Oluline on seejuures , et hoop ei satuks kaelalülide pihta . 
34	NA	 Sel juhul tekib murdunud kaelalülide juurde vereklomp , mis ei lase lihakehast verd korralikult välja valguda . 
34	NA	 Siis tuleb vere liha sisse jäämise vältimiseks terava noaga eemaldada väike nudipea . 
35	NA	 Jänesekasvatusega tegelema hakkaval algajal tuleb endale selgeks teha , kas soovitakse eelkõige lihaloomi pidama hakata või tahetakse ka mõnusat sooja kasukat ja karvamütsi . 
35	NA	 Valged punaste silmadega tõuge esindavad loomad on reeglina suuremad kui mustad ja hallid , kuid nende nahka on kogenematul jänesekasvatajal raske ilma määrimata üle kõrvade tõmmata . 
36	NA	 Nina alla soovitan panna kausi . 
36	NA	 Viimane on vajalik lihtsalt tööhügieeni seisukohalt , et veri töökeskkonda ei reostaks . 
36	NA	 Seda saab kasutada ka kanasööda lisandina . 
37	NA	 Verd . 
38	NA	 Lollid kanad jooksevad selle peale tormi . 
38	NA	 Nokivad üksteisel silmi peast , kargavad kannustega harja . 
