par_nr	head	sentence
1	" "" Kuningas Christeri mõõk "" ja Ingrid Arvustused "	" "" Kuningas Christeri mõõk "" ja Ingrid Arvustused "
2	NA	 Indrek Hargla 
3	NA	 Aknast avanes vaade sammaldunud kividele , lahel oli parasjagu sügistuult ja lained loksusid vahutades randa . 
3	NA	 Ma ei kuulnud loksumist ; restorani aknad olid suletud , kuid nad ei sulgenud mu meelte ees mere lõhnu ja hääli . 
3	NA	 Mulle meeldis see pilt , oma uue suvila aknast hakkan ma nüüd kogu aeg merd nägema . 
3	NA	 Hämardus , tibutas kergelt vihma . 
3	NA	" "" Kuningas Christeri mõõga "" terrass oli klaasseintega , meri siinsamas . "
3	NA	 Tüüpiline lõunarootsi linnalähedane restoran — avar , piinlikuseni puhas , hubane ; mälestusmärk üleelmisel kümnendil seda maad tabanud kõigelubatusest ... 
4	NA	" "" Ma ootan kedagi , "" ütlesin kelnerile . "
4	NA	" "" Üks õlu seniks . "
4	NA	" Midagi lahjemat . "" "
4	NA	 Ta noogutas ja eemaldus . 
4	NA	 Tuhatoosi laual muidugi ei olnud . 
4	NA	 Läksin ise serveerimislaua juurde ja varustasin ennast ühega , tabades saali teisest otsast hallipäise pensionäri hukkamõistva pilgu . 
5	NA	 Õlu oli jääkülm ja ilma vahu ja peaaegu maitseta . 
5	NA	 Vaatsin kella . 
5	NA	 18.04. Olime kokku leppinud pisut peale kuut . 
5	NA	 Ta lõpetab töö kell neli , sõidab koju , vahetab riided ( kas vahetab ? ) , mukib ennast veidi ja võtab takso . 
5	NA	 Taksot ma talle ei maininud , ütlesin vaid , et tulen oma autoga . 
5	NA	 See pidi piisav olema , Ingrid on mõistlik tüdruk . 
6	NA	 Ta tuli 18.11. 
6	NA	 Tuli kiirel , uhkel ja naerataval sammul , nautides oma saabumise effekti . 
6	NA	 Põlvedeni nahkseelik ( täpselt põlvedeni ) , ainult niipalju , et sääred kogu oma jumalikkuses näha oleksid , pisut ümber puusade — ja jälle täpselt parajalt , et mitte mõjuda liiga väljakutsuvana , pigem informeerijana . 
6	NA	 Hallikas sviiter . 
6	NA	 Rinnahoidja oli ta kodus ära võtnud , tarbetu samm mõnes mõttes , see oli tal mingi moodne väljaanne , mis ei surunud rindu liiga keha ligi ... 
6	NA	 Kuid sviiter oli liibuv , tema rinnad kerkisid neist malbe väljakutsena . 
6	NA	 Ta teadis , et olin päeval hetkeks liiga kauaks ta avatud pluusinööbist põhjustatud vaadet nautima jäänud . 
6	NA	 Pluus oli valge , rinnahoidja joonistus sellest ilusti välja . 
6	NA	 Ja Ingrid teadis , et ma teadsin , et päeval oli ta veel rinnahoidjas ... 
6	NA	 Zhest oli piisav ja kõnekas . 
6	NA	 Nii tullakse ennast pakkuma ja andma . 
6	NA	 Ma kavatsesin pakkumise vastu võtta . 
6	NA	 Helepruunid juuksed , kukla tagant patsi sõlmatud , et kaunid näojooned täiuslikkuses välja joonistuksid — tal polnud tarvis mind oma juustega peibutada . 
6	NA	 Teravapilgulised , elavad silmad , rootslaslik nöbinina ja kõrge laup , kitsad huuled . 
7	NA	 Ta istus , jäädes laua juures viivuks seisma , et saaksin teda imetleda ; ja istus väga graatsiliselt , surus reied kokku , lehvitas oma helepruune juukseid . 
7	NA	 Ma ei hakanud tõusma , sest teadsin , et siin pole kombeks naistele toole laua alt tõmmata . 
7	NA	 Aga igas muus mõttes on nad naised nagu naised ikka . 
8	NA	" "" Ma hilinesin veidi , vabanda , "" ütles ka oma laulval häälel ja naeratas . "
8	NA	" Tegelikult kiirgas ja lõbusast naeratusest hoopis küsimus — "" Noh ! "
8	NA	 Kuidas on ? 
8	NA	" Oled vapustatud ? "" "
9	NA	 Mõneti ma olin . 
9	NA	" "" Vabandan , "" vastasin . "
9	NA	" "" Hilinemine pole kuigi suur patt . "
9	NA	" Sa näed fantastiline välja . "" "
9	NA	" Temast lõhnas vihma , mere ja "" Gucci "" järele . "
9	NA	 Mitte tugevalt . 
10	NA	" "" Mul läks taksoga pisut aega , linnas on tipptund . "" "
10	NA	 Kurat , ta ei raiska ka üldse aega ! 
10	NA	 Juba pidin ma teadma , et ta tuli taksoga . 
11	NA	" "" Ma ütlesin , et sa näed fantastiline välja . "" "
12	NA	" "" Aitäh . "" "
12	NA	 Pakkusin talle sigaretti . 
12	NA	 Ingrid sõrmed riivasid pooleldi mõtteliselt mu kätt , kui ta danhilli õngitses . 
12	NA	" Alles siis , kui tulemasinat klõpsutasin , küsis ta äkki : "" Kuidas sa tead , et ma suitsetan ? "" "
12	NA	 Töö juures nad ei tohi ju suitsetada . 
13	NA	" "" Nägin , kuidas sa sulepead hoidsid . "
13	NA	" Igatsevalt , kahe sõrme vahel keerutades . "" "
14	NA	" "" Detektiiv ! "" ta puhus suitsu mõnuga välja . "
15	NA	" "" Iga ajaloolane on pisut detektiiv . "
15	NA	 Pealegi tuleb deduktiivset meetodit kasutada igal alal , mitte ainult kriminalistikas . 
15	NA	" Loogika on relv . "" "
16	NA	" "" Heinlein ütleb , et loogika on tautoloogia , selle kaudu ei saa me midagi teada , mida me juba ei tea . "" "
17	NA	" "" Sa oled Heinleini lugenud ? "" "
18	NA	" "" Minu endine mees luges teda palju . "
18	NA	 Ja tsiteeris mulle . 
18	NA	" Sa ei kasutanud loogikat , vaid lihtsat vaatlust . "" "
19	NA	" "" Ja tegin sellest tõese järelduse . "" "
20	NA	 Ta noogutas ja pilgutas kiiresti ripsmeid . 
20	NA	 Ilusad silmad , täpselt need , mis vaja . 
20	NA	" "" Tegid juhuslikult õige järelduse . "" "
21	NA	" "" Hästi , edaspidi katsun rohkem empiirikaga relvastuda . "" "
22	NA	" "" Ajaloolastel pole just palju millega relvastuda . "
22	NA	 Kuid sinu relvad on head . 
22	NA	 Tead , millise mulje sinu loeng jättis ? 
22	NA	" Nad olid täielikus vaimustuses , tormasid sind otsima ... "" "
23	NA	 Ja ta rääkis mulle sellest , mida isegi teadsin . 
23	NA	 Mõtlesin , kas mitte teadlaste vaimustus polnud kallutanud Ingridit nii riietuma . 
23	NA	 Naised on nii mõjutatavad ja tihti pole võimalik mõista , kellest või millest . 
23	NA	 Konverentsikeskuse sekretärina puutus ta paljude kuulsustega kokku . 
23	NA	 Ilus , aktiivne , energiline naine . 
23	NA	 Loomulikult ei võtnud ta igat õhtusöögikutset vastu , ei — seda ma temast ei uskunud . 
23	NA	 Ingridis oli piisavalt eneseuhkust ja väärikust . 
24	NA	" "" Ingrid ! "" ütlesin , kui ta oli oma kiidukõne lõpetanud . "
24	NA	" "" Ma tahtsin sind selle õhtusöögiga lihtsalt tänada . "
24	NA	 Ilma sinuta poleks see kõik olnud nii suurepärane . 
24	NA	 Olen sulle väga tänulik , tõesti olen . 
24	NA	 Kõik tuli ju nädalajagu ümber mängida , kutsed ümber kirjutada . 
24	NA	" Ja et loeng õnnestus — et kogu konverents õnnestus , hoolimata minu viivitusest — on suuresti sinu teene . "" "
24	NA	 Ja ma olin siiras . 
24	NA	 Ta sai sellest aru . 
24	NA	 Olin tüdrukut oma plaanide muutmisega kõvasti vintsutanud . 
24	NA	 Aga nägin ma teda esimest korda alles siin — Lundis . 
24	NA	 Ning pidin ennast taas needma , kui halvasti ma oskan telefonis kõlanud hääle omanikku ette kujutada . 
24	NA	 Telefonid ? ma pole veel ikka nendega harjunud ! 
25	NA	" "" Aitäh , Rainer ! "" sõnas ta vaikselt . "
25	NA	" "" Ja aitäh lillede eest . "" "
26	NA	 Ta oli aru saanud ! 
26	NA	 Saatsin buketi anonüümselt . 
26	NA	 Nii mõjub rohkem . 
27	NA	 Kelner . 
27	NA	 Me tellisime veel ühed õlled ja jäime menüüd uurima . 
28	NA	" "" Lubad , ma valin ? "" "
28	NA	 Vaatame , kui palju on temas rootslannat . 
